x_val,Folder,0b_Count,1b_Count,2b_Count,0b_Ratio(%),1b_Ratio(%),2b_Ratio(%)
0.0,structure_000_c1.extxyz,8,0,0,100.0,0.0,0.0
0.2,structure_020_c1.extxyz,6,2,0,75.0,25.0,0.0
0.4,structure_040_c1.extxyz,5,3,0,62.5,37.5,0.0
0.6,structure_060_c1.extxyz,3,5,0,37.5,62.5,0.0
0.8,structure_080_c1.extxyz,3,4,1,37.5,50.0,12.5
1.0,structure_100_c1.extxyz,2,4,2,25.0,50.0,25.0
1.2,structure_120_c1.extxyz,1,4,3,12.5,50.0,37.5
1.4,structure_140_c1.extxyz,0,5,3,0.0,62.5,37.5
1.6,structure_160_c1.extxyz,0,3,5,0.0,37.5,62.5
1.8,structure_180_c1.extxyz,0,2,6,0.0,25.0,75.0
2.0,structure_200_c1.extxyz,0,0,8,0.0,0.0,100.0
